question,option_a,option_b,option_c,option_d,correct_answer,category,source
"Which birth years define Generation Z in the population data?","1981-1996","1997-2012","2000-2015","2013 onwards","1997-2012","Generations","Statista / ONS - UK population by generation 2024"
"Which birth years define Millennials in the population data?","1965-1980","1977-1992","1981-1996","1997-2012","1981-1996","Generations","Statista / ONS - UK population by generation 2024"
"Which generation had the largest estimated UK population in 2024?","Gen Z","Millennials","Gen X","Baby Boomers","Millennials","Population","Statista / ONS - UK population by generation 2024"
"Approximately how many Millennials lived in the UK in 2024?","9.2 million","13.6 million","14.0 million","15.0 million","15.0 million","Population","Statista / ONS - UK population by generation 2024"
"According to the 2021 Census data for England and Wales, which generation had the lowest proportion in the White ethnic group?","Gen Alpha","Gen Z","Millennials","Gen X","Gen Alpha","Demographics","Statista / ONS - England and Wales Census 2021"
"According to the 2021 Census data for England and Wales, approximately what percentage of Gen Z belonged to the White ethnic group?","65%","75%","85%","95%","75%","Demographics","Statista / ONS - England and Wales Census 2021"
"According to the 2021 Census data for England and Wales, approximately what percentage of Gen Alpha belonged to the Mixed ethnic group?","1%","3%","5%","7%","7%","Demographics","Statista / ONS - England and Wales Census 2021"
"Which generation had the largest number of employed people aged 16-65 in the UK in 2022?","Baby Boomers","Gen X","Millennials","Gen Z","Millennials","Economic","Statista / ONS - UK employment by generation 2022"
"Which age group had the highest median annual earnings for full-time UK employees in 2025?","22 to 29","30 to 39","40 to 49","50 to 59","40 to 49","Economic","Statista / ONS - UK earnings by age 2025"
"According to a 2022 UK survey, which generation was most commonly perceived as financially insecure?","Baby Boomers","Gen X","Millennials","Gen Z","Gen Z","Perceptions","Statista / Ipsos - Characteristics of generations UK 2022"
